"Carrera","Ciclo","Nro_Curos","Dispositivo_principal","Nro_dispositivos_dia","Modelo_dispositivo_principal","Marca_disp_principal","Horas_uso_dispo_dia","Nro_carga_dia","Satisfaccion","tipo_de_uso","Bateria_dispo_pricipal","Eficiencia_energetica","Consumo_energia_dia"
"Ingenieria Ambiental",4,6,"Laptop",3,"HP Laptop 15-dy5xxx","HP",3,4,3,"Estudios;Investigación;Otros",3550,3.38028169014085,14200
"Ciencia de Datos",1,6,"Tablet",3,"ipad gen 9","Apple",9,1,3,"Estudios;Entretenimiento",8557,1.05177048030852,8557
"Ciencia de Datos",3,5,"Laptop",2,"Vivobook_ASUSLaptop N7600ZE","Asus",10,3,4,"Estudios;Investigación;Entretenimiento",8380,3.5799522673031,25140
"Ciencia de Datos",3,5,"Laptop",2,"HP Laptop 15-dy1xxx","HP",10,4,2,"Estudios;Investigación;Entretenimiento",3815,10.4849279161206,15260
"Ciencia de Datos",5,5,"Celular",2,"Iphone xr","Apple",6,4,1,"Estudios;Entretenimiento",2942,8.15771583956492,11768
"Ciencias de la computación",7,6,"Laptop",3,"Macbook Pro","Apple",6,1,5,"Estudios;Investigación;Entretenimiento",4781,1.25496758000418,4781
"Ciencias de la computación",4,5,"Laptop",3,"Lenovo IdeaPad 3 Gaming","Lenovo",8,3,4,"Estudios;Investigación;Entretenimiento",3906,6.14439324116743,11718
"Ciencias de la computación",3,5,"Celular",2,"iPhone 13","Apple",4,3,4,"Estudios;Investigación;Entretenimiento",3227,3.71862410907964,9681
"Ciencias de la computación",5,5,"Laptop",3,"asus tuf dash f15","Asus",3,2,3,"Estudios;Investigación;Entretenimiento",4940,1.21457489878543,9880
"Ciencias de la computación",3,4,"Laptop",2,"Asus ROG Strix Flow","Asus",9,3,5,"Estudios;Investigación;Entretenimiento;Otros",4007,6.73820813576242,12021
"Ciencias de la computación",1,6,"Celular",2,"Poco X3","Xiaomi",6,2,5,"Estudios;Investigación;Entretenimiento",5160,2.32558139534884,10320
"Ciencias de la computación",6,5,"Laptop",2,"LATITUDE D15","DELL",5,2,4,"Estudios;Investigación;Entretenimiento",4473,2.23563603845294,8946
"Ciencias de la computación",1,6,"Celular",3,"Samsung A25","Samsung",3.8,1,4,"Estudios;Entretenimiento",4905,0.774719673802243,4905
"Ciencias de la computación",1,6,"Celular",2,"OnePlus 11 5g","OnePlus",10,2,4,"Estudios;Investigación;Entretenimiento",5000,4,10000
"Ciencias de la computación",1,7,"Celular",3,"Motorola g20","Motorola",4,3,4,"Entretenimiento",5000,2.4,15000
"Ciencias de la computación",1,6,"Celular",2,"Magic 5 lite","Honor",3,1,5,"Estudios;Entretenimiento",5100,0.588235294117647,5100
"Ciencias de la computación",1,6,"Celular",2,"iPhone XS, HP Pavillion i5","Apple",4,2,4,"Estudios;Investigación;Entretenimiento",2658,3.00978179082017,5316
"Ciencias de la computación",1,6,"Celular",2,"iPhone 11","Apple",7,2,4,"Estudios;Investigación;Entretenimiento",3110,4.5016077170418,6220
"Ciencias de la computación",1,5,"Laptop",4,"Macbook pro 14","Apple",9,1,5,"Estudios",6073,1.48196937263297,6073
"Ciencias de la computación",1,6,"Celular",3,"Samsung galaxy s8 plus","Samsung",3,2,3,"Estudios;Investigación;Entretenimiento",4500,1.33333333333333,9000
"Ciencias de la computación",1,6,"Celular",3,"iPhone 15","Apple",3,1,5,"Estudios;Entretenimiento",3877,0.77379417075058,3877
"Ciencias de la computación",1,6,"Celular",2,"Oppo reno 7","OPPO",4,2,4,"Estudios;Investigación;Entretenimiento",4500,1.77777777777778,9000
"Ciencias de la computación",1,6,"Celular",3,"iphone 13 pro max","Apple",8,1,5,"Estudios;Investigación;Entretenimiento",4352,1.83823529411765,4352
"Ciencias de la computación",1,6,"Celular",4,"Redmi 12C","Xiaomi",4,1,5,"Estudios;Entretenimiento",5000,0.8,5000
"Ciencias de la computación",1,6,"Celular",3,"Samsung Galaxy A31","Samsung",7,3,3,"Estudios;Investigación;Entretenimiento",5000,4.2,15000
"Ciencias de la computación",1,6,"Celular",3,"Redmi note 13 pro +","Xiaomi",6,1,5,"Estudios;Entretenimiento",5000,1.2,5000
"Ciencias de la computación",1,6,"Celular",2,"Oppo A58","OPPO",5,1,5,"Estudios;Entretenimiento",5000,1,5000
"Ciencias de la computación",1,6,"Celular",3,"Honor 6x","Honor",9,5,4,"Estudios",5000,9,25000
"Ciencias de la computación",1,6,"Celular",3,"Iphone 14 pro max","Apple",4,2,4,"Entretenimiento",4323,1.85056673606292,8646
"Ciencias de la computación",1,6,"Laptop",2,"Realme","Lenovo",4,2,2,"Investigación",5000,1.6,10000
"Ciencias de la computación",1,6,"Celular",2,"iPhone 11","Apple",5,2,2,"Estudios;Entretenimiento",3110,3.21543408360129,6220
"Ciencias de la computación",1,6,"Celular",5,"iPhone 14","Apple",3.5,1,4,"Estudios;Entretenimiento",3279,1.06739859713327,3279
"Ciencias de la computación",1,6,"Celular",4,"Vivo Y21s","Vivo",6,1,5,"Estudios;Investigación;Entretenimiento",5000,1.2,5000
"Ciencias de la computación",1,6,"Laptop",2,"Latitude 5440","DELL",6,2,5,"Estudios;Entretenimiento;Otros",5856,2.04918032786885,11712
"Ciencias de la computación",1,6,"Celular",3,"Iphone 11","Apple",5,2,4,"Estudios;Investigación;Entretenimiento",3110,3.21543408360129,6220
"Ciencias de la computación",1,6,"Celular",4,"Samsung a21s","Samsung",6,1,4,"Estudios",5000,1.2,5000
"Ciencias de la computación",1,6,"Celular",3,"Samsung galaxy a02s","Samsung",8,4,4,"Estudios;Investigación;Entretenimiento",5000,6.4,20000
"Ciencias de la computación",1,6,"Celular",3,"Iphone 12","Apple",6,2,2,"Estudios;Investigación;Entretenimiento",2775,4.32432432432432,5550
"Ciencias de la computación",1,6,"Celular",2,"Samsung galaxy A32","Samsung",7,5,3,"Estudios;Investigación;Entretenimiento",4860,7.20164609053498,24300
"Ciencias de la computación",1,6,"Celular",2,"iPhone 15 pro max","Apple",7,1,5,"Estudios;Investigación;Entretenimiento",4852,1.44270403957131,4852
"Ciencias de la computación",1,6,"Laptop",2,"Hp Victus","HP",3,1,4,"Estudios;Investigación",4323,0.693962526023595,4323
"Ciencias de la computación",1,6,"Celular",3,"Huawei p20","Huawei",3,2,3,"Estudios;Entretenimiento",3400,1.76470588235294,6800
"Ciencias de la computación",1,6,"Celular",3,"Iphone 13","Apple",10,2,5,"Estudios;Investigación;Entretenimiento",3240,6.17283950617284,6480
"Ciencias de la computación",1,6,"Celular",3,"iPhone 11","Apple",4,1,4,"Estudios;Entretenimiento",3110,1.28617363344051,3110
"Ciencias de la computación",1,6,"Laptop",3,"Macbook pro 2019","Apple",6,2,2,"Estudios;Investigación;Entretenimiento",8790,1.36518771331058,17580
"Ciencias de la computación",1,6,"Celular",3,"Motorola g54+","Motorola",3,1,5,"Estudios;Investigación;Entretenimiento",5000,0.6,5000
"Ciencias de la computación",1,6,"Celular",2,"Huawei Y9","Huawei",6,1,4,"Estudios;Investigación;Entretenimiento",4000,1.5,4000
"Ciencias de la computación",1,6,"Celular",3,"Galaxy A12","Samsung",1.5,1,5,"Estudios;Entretenimiento",5000,0.3,5000
"Ciencias de la computación",1,6,"Celular",2,"iPhone 7","Apple",3,3,3,"Estudios;Entretenimiento",1990,4.52261306532663,5970
"Ciencias de la computación",1,6,"Celular",2,"Redmin Note 9","Xiaomi",6,5,3,"Estudios;Investigación;Entretenimiento;Otros",5020,5.97609561752988,25100
"Ciencias de la computación",1,6,"Tablet",3,"Ipad Pro","Apple",2,2,4,"Estudios;Investigación",10758,0.371816322736568,21516
"Ciencias de la computación",1,6,"Celular",2,"iPhone XR","Apple",3,1,4,"Estudios;Investigación;Entretenimiento",2942,1.01971447994562,2942
"Ciencias de la computación",1,5,"Celular",2,"Galaxy S24","Samsung",3,1,3,"Estudios;Investigación;Entretenimiento",3880,0.77319587628866,3880
"Ciencias de la computación",1,6,"Celular",3,"Iphone 15 pro max, macbook air 2023","Apple",5,1,5,"Estudios;Otros",5620,0.889679715302491,5620
"Ciencias de la computación",1,6,"Laptop",2,"Lenovo LOQ 15","Lenovo",7,2,3,"Estudios;Investigación;Entretenimiento",3886,3.6026762738034,7772
"Ciencias de la computación",1,6,"Celular",2,"SamsungGalaxyS23FE","Samsung",5,1,4,"Estudios;Investigación;Entretenimiento",4370,1.1441647597254,4370
"Ciencias de la computación",1,6,"Celular",3,"Redmi Note 12","Xiaomi",10,1,5,"Estudios;Investigación;Entretenimiento",5000,2,5000
"Ciencias de la computación",1,6,"Laptop",3,"Dell Inspiron I15","DELL",6,1,3,"Estudios;Investigación",4800,1.25,4800
"Ciencias de la computación",1,6,"Laptop",2,"Ipad pro","Apple",3,2,3,"Estudios;Investigación",10758,0.557724484104852,21516
"Ciencias de la computación",1,6,"Celular",3,"iPhone 11","Apple",5,3,5,"Estudios;Investigación;Entretenimiento",3110,4.82315112540193,9330
"Ciencias de la computación",1,6,"Celular",3,"Samsung A51","Samsung",6,2,5,"Estudios;Investigación;Entretenimiento",4500,2.66666666666667,9000
"Ciencias de la computación",2,7,"Celular",1,"Samsung A03","Samsung",3,2,3,"Estudios;Entretenimiento",4900,1.22448979591837,9800
"Ciencias de la computación",1,6,"Celular",3,"Google pixel 8","Google",4,1,4,"Estudios;Entretenimiento",4575,0.87431693989071,4575
"Ciencias de la computación",1,6,"Celular",1,"Xiaomi redmi 9","Xiaomi",5,2,4,"Estudios;Investigación;Entretenimiento",5020,1.99203187250996,10040
"Ciencias de la computación",1,6,"Celular",2,"iPhone 11","Apple",5,3,3,"Estudios;Entretenimiento",2110,7.10900473933649,6330
"Ciencias de la computación",1,6,"Laptop",2,"MacBook Pro","Apple",4,1,5,"Estudios;Investigación;Entretenimiento",4781,0.836645053336122,4781
"Ciencias de la computación",1,6,"Laptop",2,"Apple MacBook","Apple",5,1,4,"Estudios;Investigación;Entretenimiento",4781,1.04580631667015,4781
"Ciencias de la computación",3,7,"Laptop",5,"Laptop HP victus","HP",8,0,3,"Estudios;Investigación;Entretenimiento",4323,0,0
"Ciencias de la computación",1,6,"Celular",1,"Moto g 60 s","Motorola",4,1,4,"Entretenimiento",5000,0.8,5000
"Ciencias de la computación",1,6,"Celular",2,"iPhone Xs Max","Apple",9.5,2,5,"Estudios;Investigación;Entretenimiento;Otros",3174,5.98613736609956,6348
"Ciencias de la computación",1,7,"Celular",3,"Samsung A54","Samsung",3,2,4,"Estudios;Investigación;Entretenimiento",500,12,1000
"Ciencias de la computación",1,6,"Celular",3,"Galaxy A32","Samsung",5,2,4,"Estudios;Entretenimiento",4860,2.05761316872428,9720
"Ciencias de la computación",1,6,"Celular",1,"Redmi note 12 pro","Xiaomi",3,1,4,"Estudios",5000,0.6,5000
"Ciencias de la computación",1,7,"Celular",2,"iPhone 8","Apple",3,2,2,"Estudios;Entretenimiento",1821,3.29489291598023,3642
"Ciencias de la computación",1,6,"Celular",2,"p smarth 2018","Huawei",7,2,2,"Estudios;Investigación;Entretenimiento",3000,4.66666666666667,6000
"Ciencias de la computación",1,6,"Laptop",3,"Acet nitro 5, iphone xr","Acer",5,2,3,"Estudios;Investigación;Entretenimiento",3815,2.62123197903014,7630
"Ciencias de la computación",1,6,"Celular",3,"Samsung Galaxy A54","Samsung",3,1,4,"Estudios;Entretenimiento",5000,0.6,5000
"Ciencias de la computación",1,6,"Laptop",2,"Laptop Lenovo Legion","Lenovo",4,1,2,"Estudios;Entretenimiento",5210,0.767754318618042,5210
"Ciencias de la computación",2,6,"Laptop",3,"Loq","Lenovo",8,3,4,"Estudios;Investigación;Entretenimiento;Otros",3886,6.17601646937725,11658
"Ciencias de la computación",1,6,"Laptop",3,"Victus 15","HP",4,2,5,"Estudios;Investigación;Entretenimiento;Otros",4323,1.85056673606292,8646
"Ciencias de la computación",1,6,"Celular",3,"Samsung Galaxy S23","Samsung",5,1,4,"Estudios",3785,1.32100396301189,3785
"Ciencias de la computación",1,6,"Celular",2,"Smasug galaxy A51","Samsung",6,2,2,"Estudios",4500,2.66666666666667,9000
"Ciencias de la computación",1,6,"Celular",2,"Redmi Note 9","Xiaomi",16,1,5,"Estudios;Investigación;Entretenimiento;Otros",5020,3.18725099601594,5020
"Ciencias de la computación",1,6,"Celular",2,"Motorola g51 5g","Motorola",12,1,3,"Estudios;Otros",5000,2.4,5000
"Ciencias de la computación",1,6,"Celular",2,"Redmi Note 12","Xiaomi",6,1,4,"Estudios;Entretenimiento;Otros",5000,1.2,5000
"Ciencias de la computación",1,6,"Celular",3,"Xiaomi 11 Lite 5G NE","Xiaomi",4,2,3,"Entretenimiento",4250,1.88235294117647,8500
"Ciencias de la computación",1,6,"Celular",2,"Honor X6","Honor",5,2,2,"Estudios;Otros",5000,2,10000
"Ciencias de la computación",1,6,"Celular",2,"Motorola G20","Motorola",3,0,4,"Estudios;Entretenimiento",5000,0,0
"Ciencias de la computación",1,5,"Celular",3,"Xiaomi poco x3",NA,4,2,5,"Otros",5160,1.55038759689922,10320
"Ciencias de la computación",1,5,"Celular",2,"Samsung Galaxy A72","Samsung",4,2,3,"Investigación;Entretenimiento",5000,1.6,10000
"Ciencias de la computación",1,6,"Celular",3,"moto g(7) power","Motorola",5,2,4,"Estudios;Entretenimiento",5000,2,10000
"Ciencias de la computación",1,6,"Laptop",2,"HP Pavilion","HP",5,1,5,"Estudios;Entretenimiento",3635,1.37551581843191,3635
"Ciencias de la computación",1,6,"Celular",3,"iPhone X","Apple",3,2,3,"Estudios;Investigación;Entretenimiento",2716,2.20913107511046,5432
"Ciencias de la computación",1,6,"Celular",2,"Redmi s10 y laptop hp core i3","Xiaomi",4,1,3,"Estudios;Investigación;Entretenimiento",5000,0.8,5000
"Ciencias de la computación",2,5,"Laptop",5,"Asus tuf dash f15","Asus",8,3,4,"Estudios;Investigación;Entretenimiento",4940,4.8582995951417,14820
"Ciencias de la computación",1,6,"Celular",2,"iphone 11","Apple",3,1,2,"Entretenimiento",3110,0.964630225080386,3110
"Ciencias de la computación",1,6,"Laptop",2,"Poco M3, HP Victus rtx 3050","HP",4,1,4,"Estudios;Entretenimiento",4545,0.88008800880088,4545
"Ciencias de la computación",1,6,"Celular",2,"Redmi 9A","Xiaomi",4,1,3,"Estudios;Entretenimiento",5000,0.8,5000
"Ciencias de la computación",3,6,"Celular",3,"Samsung Galaxy S23 Ultra","Samsung",5,1,5,"Estudios;Entretenimiento",4855,1.02986611740474,4855
"Bioingenieria",3,2,"Celular",2,"Xiaomi 11 pro","Xiaomi",2,4,3,"Investigación;Entretenimiento",5000,1.6,20000
"Bioingenieria",3,5,"Laptop",2,"Lenovo legion pro 5i","Lenovo",3,3,4,"Estudios;Investigación;Entretenimiento",5210,1.72744721689059,15630
"Bioingenieria",7,6,"Celular",2,"iPhone 14","Apple",6,2,2,"Estudios;Entretenimiento",3279,3.65965233302836,6558
"Bioingenieria",1,7,"Celular",2,"iPhone 12 mini","Apple",5,3,3,"Estudios",2227,6.73551863493489,6681
"Bioingenieria",2,7,"Celular",2,"Asus tuf dash f15, Samsung a34","Samsung",5,3,2,"Estudios",4905,3.05810397553517,14715
"Bioingenieria",7,3,"Tablet",4,"iPad Air 5","Apple",4,1,5,"Estudios;Investigación",7729,0.51753137533963,7729
"Bioingenieria",8,5,"Celular",3,"Iphone 13","Apple",8,1,4,"Estudios;Investigación;Entretenimiento;Otros",3227,2.47908273938643,3227
"Bioingenieria",3,6,"Celular",4,"Iphone 7 Plus","Apple",6,3,5,"Estudios;Entretenimiento",3850,4.67532467532468,11550
"Ciencias de la computación",3,5,"Celular",2,"Samsung A33","Samsung",8,2,4,"Estudios;Investigación;Entretenimiento",5000,3.2,10000
"Ciencias de la computación",3,4,"Celular",2,"iPhone 14 pro","Apple",7,2,5,"Estudios;Investigación;Entretenimiento;Otros",3200,4.375,6400
"Ciencias de la computación",1,6,"Celular",2,"iPhone X","Apple",8,3,3,"Estudios;Investigación;Entretenimiento;Otros",2716,8.83652430044183,8148
"Ciencias de la computación",7,7,"Laptop",3,"Dell Inspiron 15 3520","DELL",4,2,5,"Estudios;Entretenimiento",3644,2.1953896816685,7288
"Ciencias de la computación",1,7,"Laptop",3,"Levono IdeaPad","Lenovo",5,2,4,"Estudios;Investigación",4950,2.02020202020202,9900
"Ciencia de Datos",3,5,"Laptop",2,"Lenovo T450","Lenovo",5,3,3,"Estudios, Investigación",5200,2.88461538461538,15600
"Ciencias de la computación",3,4,"Celular",2,"Redmi Note 9","Xiaomi",2.5,2,4,"Entretenimiento",5020,0.99601593625498,10040
"Ciencias de la computación",3,6,"Celular",2,"S24 ultra","Samsung",6,1,5,"Estudios, Entretenimiento",5000,1.2,5000
"Ingenieria Ambiental",5,5,"Laptop",2,"HP core i5","HP",8,4,3,"Estudios, Investigación, Entretenimiento",3700,8.64864864864865,14800
"Ingenieria Mecatrónica",6,5,"Laptop",2,"Asus rog strix","Asus",5,2,4,"Estudios, Investigación, Entretenimiento",4840,2.06611570247934,9680
"Ingenieria Ambiental",4,6,"Celular",3,"Redmi note 13","Xiaomi",4,2,5,"Estudios, Investigación",5000,1.6,10000
"Ingenieria Industrial",5,6,"Laptop",3,"Asus Vivobook 15x","Asus",6,3,4,"Estudios",4505,3.99556048834628,13515
"Ingenieria Civil",4,8,"Celular",3,"Iphone 15","Apple",6,2,2,"Estudios",3877,3.09517668300232,7754
"Ingenieria Mecánica",3,6,"Laptop",4,"Asus ROG Strix g15","Asus",5,2,3,"Estudios, Investigación, Entretenimiento",3637,2.74951883420401,7274
"Ciencias de la computación",3,6,"Laptop",2,"HP Laptop 14","HP",7,3,5,"Estudios, Investigación",3600,5.83333333333333,10800
"Ciencia de Datos",3,5,"Laptop",2,"HP Laptop 15-dy1xxx","HP",10,4,2,"Estudios, Investigación, Entretenimiento",3550,11.2676056338028,14200
"Ciencias de la computación",6,6,"Laptop",3,"Asus TUF Gaming F15","Asus",4,1,5,"Estudios, Entretenimiento",6000,0.666666666666667,6000
"Ciencias de la computación",3,6,"Laptop",3,"MateBook D","Huawei",3,6,3,"Estudios",3800,4.73684210526316,22800
"Ciencias de la computación",3,5,"Celular",8,"Pro 30","Huawei",2,2,5,"Estudios, Entretenimiento",4200,0.952380952380952,8400
"Ingenieria Ambiental",5,6,"Celular",2,"Galaxy S21","Samsung",5,2,4,"Estudios, Investigación, Entretenimiento",4000,2.5,8000
"Ciencias de la computación",3,6,"Laptop",3,"ThinkPad","Lenovo",7,1,5,"Estudios",4950,1.41414141414141,4950
"Ingenieria Civil",2,7,"Laptop",4,"Ideapad Gaming","Lenovo",3,2,4,"Estudios",3910,1.53452685421995,7820
"Ingenieria Ambiental",4,6,"Laptop",2,"Acer Nitro 5","Acer",10,5,2,"Estudios, Investigación, Entretenimiento",5875,8.51063829787234,29375
"Ciencias de la computación",3,6,"Laptop",3,"ThinkBook","Lenovo",4,1,5,"Estudios",5700,0.701754385964912,5700
"Ciencias de la computación",3,6,"Celular",3,"Galaxy A15","Samsung",5,2,4,"Entretenimiento",5000,2,10000
"Ciencias de la computación",3,6,"Celular",2,"Iphone 15","Apple",3,1,5,"Estudios, Entretenimiento",3877,0.77379417075058,3877
"Ingenieria Mecatrónica",3,6,"Laptop",3,"HP Laptop 15","HP",2.5,2,5,"Estudios",5000,1,10000
"Ciencias de la computación",3,6,"Celular",3,"Iphone 15 Pro","Apple",4,2,5,"Estudios, Investigación, Entretenimiento",3650,2.19178082191781,7300
"Ingenieria Mecatrónica",4,6,"Celular",3,"iphone 15 pro max","Apple",8,5,3,"Estudios, Entretenimiento",4441,9.00698040981761,22205
"Ingenieria Civil",4,6,"Laptop",3,"Lenovo Flex 5","Lenovo",7.5,2,4,"Estudios, Investigación",5250,2.85714285714286,10500
"Ingenieria Civil",5,7,"Laptop",2,"Asus vivobook 14","Asus",6,6,3,"Estudios, Investigación, Otros",3000,12,18000
"Ingenieria Electrónica",4,6,"Laptop",2,"ThinkPad","Lenovo",5,2,3,"Estudios, Investigación, Entretenimiento",4950,2.02020202020202,9900
"Ingenieria Ambiental",4,6,"Laptop",3,"HP Victus- 16","HP",8,4,3,"Estudios, Investigación",4000,8,16000
"Ciencias de la computación",3,6,"Laptop",4,"Lenovo ThinkPad T450","Lenovo",4,1,5,"Estudios, Investigación, Entretenimiento",5200,0.769230769230769,5200
"Ciencias de la computación",3,6,"Celular",2,"Samsung Galaxy 10","Samsung",7,1,4,"Estudios, Entretenimiento",3400,2.05882352941176,3400
"Ciencias de la computación",3,5,"Laptop",2,"Acer Nitro 5","Acer",3,1,5,"Estudios, Investigación",5875,0.51063829787234,5875
"Ciencias de la computación",3,6,"Laptop",4,"HP Laptop 15","HP",7.5,2,5,"Estudios, Investigación",5000,3,10000
"Bioingenieria",3,6,"Laptop",3,"Dell inspirion","DELL",1,4,4,"Investigación",3000,1.33333333333333,12000
"Bioingenieria",4,5,"Laptop",3,"HP 14","HP",4,2,4,"Estudios",4000,2,8000
"Ingenieria Civil",5,6,"Laptop",2,"Lenovo V15","Lenovo",3,1,5,"Estudios",3000,1,3000
"Ingenieria Civil",4,6,"Laptop",3,"MSI","MSI",2,2,3,"Estudios, Investigación",3000,1.33333333333333,6000
"Ingenieria Ambiental",4,7,"Laptop",2,"HP PAVIlion Gaming","HP",8,3,3,"Estudios, Investigación, Entretenimiento",4000,6,12000
"Ingenieria Civil",7,5,"Laptop",3,"OMEN HP","HP",10,4,5,"Estudios, Investigación, Entretenimiento",6000,6.66666666666667,24000
